"Input","Target"
" what movies can be described with sarah polley","	Dawn of the Dead, Mr. Nobody, Splice, Go, The Sweet Hereafter, Take This Waltz, Away from Her, The Secret Life of Words, Stories We Tell, Don't Come Knocking, No Such Thing"
" what films are about andy lau","	House of Flying Daggers, Infernal Affairs, Shaolin, Days of Being Wild, Running Out of Time, Rich and Famous"
" what films can be described by florence","	Iron Man, Hancock, Seven Pounds, Hannibal, Step Brothers, Role Models, Knowing, Get Smart, You Don't Mess with the Zohan, The Day the Earth Stood Still, Orphan, Horton Hears a Who!, The Strangers"
" what movies can be described with pete postlethwaite","	Inception, The Usual Suspects, The Town, In the Name of the Father, Dark Water"
" what movies can be described by plot:repossessed organs","	Repo Men, Repo! The Genetic Opera"
" what movies can be described by interesting idea had great potential","	The Brothers Grimm"
" which movies are about allen is brilliant","	The Curse of the Jade Scorpion, Melinda and Melinda, Hollywood Ending"
" which movies are about alastair sim","	A Christmas Carol, Stage Fright"
" which films can be described by video game testers","	Grandma's Boy"
" which movies are about mike hammer","	Kiss Me Deadly, I, the Jury, My Gun Is Quick"
" which movies are about ethnic conflict","	Eternal Sunshine of the Spotless Mind, 12 Angry Men, Hotel Rwanda, Ararat"
" which films are about oop","	Meet the Feebles, Exotica, Game of Death, Faster, Pussycat! Kill! Kill!, Bullet in the Head, The Miracle of Morgan's Creek, Heavy, Irma Vep, The Hunter, Medium Cool"
" what films can be described by overcoming obstacles","	Rain Man, The Diving Bell and the Butterfly, Extraordinary Measures, Living Proof"
" which films can be described by criminal mastermind","	The Great Mouse Detective, The Ladykillers"
" what films are about author:william s. burroughs","	Naked Lunch"
" what films are about wrong. so wrong","	Oldboy, Hercules"
" what films are about 7.1-filmaffinity","	Back to the Future Part II, The Thin Red Line, The Fall"
" which movies are about surveillance","	The Truman Show, Minority Report, The Cabin in the Woods, The Lives of Others, Panic Room, Enemy of the State, Body of Lies, Brazil, Eagle Eye, Battle Royale, Modern Times, A Scanner Darkly, The French Connection, The Conversation, Nineteen Eighty-Four, Sneakers, Don't Say a Word, Paprika, THX 1138, Sleuth, Red Road, Lights in the Dusk, Black Moon Rising"
" what movies can be described by poor execution","	The Signal, Metropia"
" which films can be described by food/cooking","	Ratatouille, Eastern Promises, Chocolat, Eat Drink Man Woman, Babette's Feast, I Am Love"
" what movies can be described by old people","	Cocoon"
" what movies are about sigur rÃ³s","	The Life Aquatic with Steve Zissou, Ondine"
" what movies are about great cast excellent","	The Godfather, Hotel Rwanda, Downfall, The Great Escape, Mr. Smith Goes to Washington, The Great Muppet Caper"
" what films can be described by intruder","	You're Next, Them"
" what movies are about nick castle","	Dennis the Menace, Major Payne, Mr. Wrong, The Boy Who Could Fly"
" what movies can be described by trashy","	Pulp Fiction, Pink Flamingos, Faster, Pussycat! Kill! Kill!"
" which films can be described by no reason for what is happening","	First Blood"
" what films are about quentin tarantino","	Pulp Fiction, Django Unchained, Inglourious Basterds, Sin City, Reservoir Dogs, Jackie Brown, Death Proof, True Romance, Grindhouse, Little Nicky, Four Rooms, Hell Ride"
" what films can be described by nick willing","	Alice in Wonderland"
" what movies can be described with light-hearted","	Zack and Miri Make a Porno, Splash, Roxanne, The Spy Next Door, Beautiful Creatures, The North Avenue Irregulars"
" what movies can be described with bechdel test: pass","	Bridesmaids, Persepolis, The Brave One, Fried Green Tomatoes, Ballet Shoes, Arranged"
" what films can be described by not science fiction","	Never Let Me Go, Monsters, The Signal"
" which films can be described by bad mothers","	Despicable Me, Ordinary People, Now, Voyager"
" which films are about corrupt cops","	The Dark Knight, L.A. Confidential, The Place Beyond the Pines, Man on a Ledge, Outland, Newsies"
" which movies are about toplist05","	Brokeback Mountain, Walk the Line, Capote"
" what movies can be described with car","	Taxi, Black Moon Rising"
" what movies are about matthew lillard","	Scooby-Doo, She's All That, Wicker Park, SLC Punk!, The Perfect Score"
" what movies can be described with religion:christianity","	The Sunset Limited"
" which movies are about hollow earth","	At the Earth's Core"
" what films can be described by robert vaughn","	The Magnificent Seven, Bullitt"
" what movies are about porn stars","	The Big Lebowski, Wonderland"
" which movies are about priest","	300, Million Dollar Baby, The Mummy, The Exorcist, Primal Fear, The Exorcism of Emily Rose, The American, Keeping the Faith, Deliver Us from Evil, Bad Education, The Mission, Adam's Apples, Bandidas, The Lawnmower Man, Europa, Angels with Dirty Faces, Winter Light, The Day of the Beast, Machuca, Priest, Diary of a Country Priest, Letters to Father Jacob"
" which films can be described by cheech marin","	Machete, Desperado, Up in Smoke, Born in East L.A., The Shrimp on the Barbie"
" what movies can be described with céline sciamma","	Tomboy, Water Lilies, Girlhood"
" what movies are about starts out original","	Rango"
" which movies can be described by robert schwentke","	The Time Traveler's Wife"
" what movies can be described by john leguizamo","	Ice Age, Kick-Ass 2, The Happening, Land of the Dead, Spawn, Super Mario Bros., Spun, The Pest"
" what films are about lawyer as protagonist","	The Firm, Witness for the Prosecution, The Client, Jagged Edge"
" which movies are about ali larter","	Final Destination 2"
" which movies are about compareto:last action hero","	Last Action Hero, JCVD"
" what movies can be described with persian","	A Separation, The Song of Sparrows, Through the Olive Trees, The Patience Stone"
" which movies are about judaica","	Schindler's List, Everything Is Illuminated"
" which films can be described by olivia de havilland","	Gone with the Wind, The Adventures of Robin Hood, Captain Blood, The Heiress, The Snake Pit, A Midsummer Night's Dream"
" which films are about charlie ray","	Little Manhattan"
" which movies are about serendipity","	Sleepless in Seattle, Serendipity"
" what movies can be described with mississippi","	The Help, Mud, A Time to Kill, Mississippi Burning, Biloxi Blues, The Chamber, Ballast, Prom Night in Mississippi"
" what movies are about substantial changes from source of adaption","	Alice in Wonderland, Double Indemnity, Precious"
" which films can be described by lee tamahori","	Die Another Day, Along Came a Spider, The Edge, The Devil's Double, Once Were Warriors"
" which movies are about jules bass","	The Last Unicorn, The Flight of Dragons"
" which movies can be described by childish","	The Avengers, Jurassic Park, Guardians of the Galaxy, Iron Man 3, Transformers, Star Trek, Iron Man 2, Limitless, Toy Story 2, Harry Potter and the Prisoner of Azkaban, Pacific Rim, Spider-Man 3, Twilight, The Wolverine, The Amazing Spider-Man 2, Divergent, Fast Five, Scott Pilgrim vs. the World, Real Steel, The Grey, Battleship, Jumanji, How to Train Your Dragon 2, The Adventures of Tintin, Predators, I Love You, Man, Teenage Mutant Ninja Turtles, Cloudy with a Chance of Meatballs, Jay and Silent Bob Strike Back, The Purge, The Karate Kid, The Last Airbender, Honey, I Shrunk the Kids, Labyrinth, Music and Lyrics, Bedtime Stories, The Spiderwick Chronicles, Heathers, The Man with the Iron Fists, Part II, Aliens in the Attic, Prozac Nation, Daddy Day Camp, All-Star Superman, Young Einstein, Space Battleship Yamato, The Twelve Chairs"
" what movies can be described by astronauts","	Gravity, Apollo 13, Planet of the Apes, The Right Stuff, Planet 51, Terms of Endearment"
" which films are about lazy","	The Big Lebowski, Romeo + Juliet, Your Highness, Old Joy"
" what movies are about roy rowland","	Our Vines Have Tender Grapes, A Stranger in Town"
" which movies can be described by plot:romance during porno shoot","	Zack and Miri Make a Porno, Body Double"
" which films can be described by legislation","	X-Men, Veronica Guerin, Conspiracy, The Roaring Twenties, Taxi to the Dark Side"
" which films are about clash of cultures","	Walkabout, The Hedgehog, Looking for Comedy in the Muslim World"
" which films are about katharine hepburn","	The African Queen, The Philadelphia Story, Bringing Up Baby, The Lion in Winter, On Golden Pond, Adam's Rib, Holiday, Summertime, Desk Set, Without Love"
" what movies are about trust no one","	Battle Royale, Wolf Creek, The Spanish Prisoner"
" which movies can be described by catherine keener","	Into the Wild, The 40-Year-Old Virgin, Being John Malkovich, Capote, The Interpreter, Where the Wild Things Are, Synecdoche, New York, The Soloist, Death to Smoochy, Cyrus, An American Crime, Friends with Money, Living in Oblivion, A Late Quartet"
" what movies are about colin firth","	The King's Speech, Love Actually, Total Recall, Shakespeare in Love, Bridget Jones's Diary, Tinker Tailor Soldier Spy, Mamma Mia!, A Single Man, Girl with a Pearl Earring, Dorian Gray, Nanny McPhee, What a Girl Wants, Before I Go to Sleep, The Last Legion, The Railway Man, The Importance of Being Earnest, The Accidental Husband, Easy Virtue, Valmont, Then She Found Me, Trauma"
" what movies can be described with octopus","	Spider-Man 2, Oldboy, Monsters, Bride of the Monster, Sharktopus, Mysterious Island, Tentacles"
" what movies are about hs","	Serenity, Dirty Harry, The Manchurian Candidate"
" which movies are about titanic","	Titanic, A Night to Remember"
" what films are about bela lugosi","	Dracula, Plan 9 from Outer Space, The Hunger, Son of Frankenstein, Bride of the Monster, Island of Lost Souls, The Raven, Mark of the Vampire, Invisible Ghost, Black Dragons, One Body Too Many"
" what movies are about pornstars","	Zack and Miri Make a Porno, The Girlfriend Experience"
" which films can be described by awful movie","	There's Something About Mary, Sahara, The Core, Elektra, Around the World in 80 Days, The Nines, The Crush, Poolhall Junkies"
" what movies can be described by heroic bloodshed","	Hard Boiled, The Killer, Rich and Famous"
" what films are about troubled production","	Brazil, Payback, Greed"
" which films can be described by peter chan","	The Warlords, Dragon, The Love Letter"
" what movies can be described by shaquille o'neal","	Grown Ups 2, Blue Chips, Steel"
" which movies are about giuseppe tornatore","	Cinema Paradiso, Malèna, The Best Offer, The Legend of 1900, The Unknown Woman, A Pure Formality, The Star Maker, Everybody's Fine"
" what movies can be described with film","	Side by Side, The Canal, The Pervert's Guide to Ideology"
" what movies are about quinten tarantino","	Pulp Fiction, Grindhouse"
" what films can be described by loki steals the show","	The Avengers, Thor"
" which movies can be described by united nations","	World War Z, X-Men, Hotel Rwanda, The Interpreter, The Art of War, Shake Hands with the Devil"
" which films can be described by unsympathetic characters","	The Big Lebowski, Hard Candy, Monsters, Cabin Fever, Rabbit Hole, The Signal, Le Havre"
" which films can be described by sadomasochism","	Singapore Sling"
" what films are about wales","	World War Z, Submarine, The Edge of Love, Third Star, Twin Town"
" what movies can be described with author:william gibson","	Johnny Mnemonic"
" what movies can be described by atlanta ga","	The Spectacular Now"
" what movies can be described by realism","	Saving Private Ryan, Schindler's List, Boyhood, Paranormal Activity, Before Sunrise, A Separation, Blue Valentine, Winter's Bone, Bicycle Thieves, Elite Squad, Monsters, Beginners, Act of Valor, La Femme Nikita, Away We Go, Fish Tank, 4 Months, 3 Weeks and 2 Days, All Good Things, Vera Drake, Young Sherlock Holmes, Pather Panchali, Wendy and Lucy, Tiny Furniture, Bubble, Threads, Aparajito, Le Mans, The War Game, Career Girls, Sunshine State, The Good Heart, Chop Shop, Involuntary, Black God, White Devil, The Exploding Girl"
" which movies are about renny harlin","	Die Hard 2, Deep Blue Sea, Cliffhanger, The Long Kiss Goodnight, Driven"
